udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_kw,wear_rate
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,6.951078534031413,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,6.826219895287958,0.0021306818166685498
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,7.748816753926701,0.003337783709387327
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,5.927068062827225,0.004884856940066394
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,5.897382198952879,0.006392045450005649
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,6.252094240837696,0.007719298240196983
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,6.917193717277486,0.008985879326709962
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,6.42779057591623,0.010478061551749795
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,4.992272251308901,0.010797840425436208
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,5.104502617801047,0.012062033307259027
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,4.4596649214659685,0.013468013460455659
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,6.600931937172774,0.02037947995756888
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,7.164701570680629,0.02539208362554736
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,5.472251308900524,0.021239954063582114
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,4.176544502617801,0.019656019646360677
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,7.814952879581152,0.027237354067939458
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,6.397130890052356,0.03356216625967798
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,6.732565445026178,0.03333333330969267
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,7.4530890052356025,0.03828483917436076
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,5.55392670157068,0.03370098037150675
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,6.147905759162304,0.04218181815114049
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,6.802094240837696,0.04344827583210464
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,5.082376963350785,0.04111321945533635
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,4.730952879581151,0.03868031852179731
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,6.09689005235602,0.044843049298627126
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,4.540450261780105,0.03922622243996441
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,6.174659685863874,0.049603174570368266
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,4.664984293193718,0.042517945862773084
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,6.660083769633508,0.05698401663864905
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,5.336052356020943,0.04961606612544828
