udi,product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_kw,wear_rate,air_temp_k_rolling_mean_10,air_temp_k_rolling_std_10,process_temp_k_rolling_mean_10,process_temp_k_rolling_std_10,rotational_speed_rpm_rolling_mean_10,rotational_speed_rpm_rolling_std_10,torque_nm_rolling_mean_10,torque_nm_rolling_std_10,tool_wear_min_rolling_mean_10,tool_wear_min_rolling_std_10,machine_failure_lag_1,machine_failure_lag_2,machine_failure_lag_3,machine_failure_lag_5,machine_failure_lag_10,twf_lag_1,hdf_lag_1,pwf_lag_1,osf_lag_1,rnf_lag_1,cum_machine_failures,temp_ratio,torque_per_rpm,tool_wear_bin,temp_x_speed,torque_x_wear,type_H,type_L,type_M
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,6.951078534031413,0.0,298.1,,308.6,,1551.0,,42.8,,0.0,,0,0,0,0,0,0,0,0,0,0,0,1.0352230795035222,0.02759509991773365,0-50,16285.5,0.0,False,False,True
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,6.826219895287958,0.0021306818166685498,298.2,,308.7,,1408.0,,46.3,,3.0,,0,0,0,0,0,0,0,0,0,0,0,1.0352112676056338,0.03288352270391795,0-50,14784.0,138.89999999999998,False,True,False
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,7.748816753926701,0.003337783709387327,298.1,,308.5,,1498.0,,49.4,,5.0,,0,0,0,0,0,0,0,0,0,0,0,1.0348876216034886,0.03297730304874679,0-50,15579.199999999966,247.0,False,True,False
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,5.927068062827225,0.004884856940066394,298.2,,308.6,,1433.0,,39.5,,7.0,,0,0,0,0,0,0,0,0,0,0,0,1.034875922199866,0.027564549876088938,0-50,14903.200000000048,276.5,False,True,False
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,5.897382198952879,0.006392045450005649,298.2,,308.7,,1408.0,,40.0,,9.0,,0,0,0,0,0,0,0,0,0,0,0,1.0352112676056338,0.028409090888913996,0-50,14784.0,360.0,False,True,False
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,6.252094240837696,0.007719298240196983,298.1,,308.6,,1425.0,,41.9,,11.0,,0,0,0,0,0,0,0,0,0,0,0,1.0352230795035222,0.02940350875129578,0-50,14962.5,460.9,False,False,True
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,6.917193717277486,0.008985879326709962,298.1,,308.6,,1558.0,,42.4,,14.0,,0,0,0,0,0,0,0,0,0,0,0,1.0352230795035222,0.02721437738946445,0-50,16359.0,593.6,False,True,False
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,6.42779057591623,0.010478061551749795,298.1,,308.6,,1527.0,,40.2,,16.0,,0,0,0,0,0,0,0,0,0,0,0,1.0352230795035222,0.026326129648771363,0-50,16033.5,643.2,False,True,False
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,4.992272251308901,0.010797840425436208,298.3,,308.7,,1667.0,,28.6,,18.0,,0,0,0,0,0,0,0,0,0,0,0,1.0348642306402949,0.017156568675970863,0-50,17336.799999999963,514.8000000000001,False,False,True
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,5.104502617801047,0.012062033307259027,298.5,,309.0,,1741.0,,28.0,,21.0,,0,0,0,0,0,0,0,0,0,0,0,1.035175879396985,0.01608271107634537,0-50,18280.5,588.0,False,False,True
