feature,importance_mean,importance_std
rotational_speed_rpm,0.2807956274362749,0.053671207368718644
torque_x_wear,0.13729065642976832,0.0067104879209340116
temp_x_speed,0.08601073211006187,0.007739434486238881
temp_ratio,0.08370932009197392,0.032038585625632485
power_kw,0.07434978225497124,0.00614385078103726
torque_nm,0.04317518503153506,0.006352597257851929
tool_wear_min,0.03885236832717646,0.003457394013481057
type,0.027557262019150392,0.001355674924526689
torque_per_rpm,0.022157543500444448,0.013942901567892211
temp_diff_k,0.019700605252914432,0.025154232140202046
process_temp_k,-0.010478177265794142,0.002466880942781501
air_temp_k,-0.012347779789024274,0.012294906941633571
