model,threshold,true_negatives,false_positives,false_negatives,true_positives,business_cost,precision,recall,f1
Logistic Regression,0.01,791,6938,0,271,6938,0.03759189901511999,1.0,0.07245989304812835
Logistic Regression,0.02,1492,6237,1,270,6247,0.04149377593360996,0.996309963099631,0.07966951903216288
Logistic Regression,0.03,1939,5790,1,270,5800,0.04455445544554455,0.996309963099631,0.08529458221450008
Logistic Regression,0.04,2327,5402,1,270,5412,0.04760225669957687,0.996309963099631,0.09086320040383644
Logistic Regression,0.05,2636,5093,1,270,5103,0.050344956181241844,0.996309963099631,0.09584664536741214
Logistic Regression,0.06,2920,4809,1,270,4819,0.05316007088009451,0.996309963099631,0.10093457943925234
Logistic Regression,0.07,3152,4577,1,270,4587,0.05570455952135341,0.996309963099631,0.10550996483001172
Logistic Regression,0.08,3365,4364,1,270,4374,0.05826499784203712,0.996309963099631,0.11009174311926606
Logistic Regression,0.09,3580,4149,1,270,4159,0.06109979633401222,0.996309963099631,0.11513859275053305
Logistic Regression,0.1,3747,3982,3,268,4012,0.06305882352941176,0.988929889298893,0.11855784118557841
Logistic Regression,0.11,3917,3812,4,267,3852,0.0654572199068399,0.985239852398524,0.12275862068965518
Logistic Regression,0.12,4057,3672,4,267,3712,0.06778370144706779,0.985239852398524,0.12684085510688836
Logistic Regression,0.13,4191,3538,6,265,3598,0.06968183013410466,0.977859778597786,0.13009327442317134
Logistic Regression,0.14,4338,3391,7,264,3461,0.07222982216142271,0.974169741697417,0.13448802852776362
Logistic Regression,0.15,4463,3266,7,264,3336,0.07478753541076487,0.974169741697417,0.13891081294396213
Logistic Regression,0.16,4614,3115,8,263,3195,0.0778567199526347,0.9704797047970479,0.1441490819402576
Logistic Regression,0.17,4719,3010,8,263,3090,0.08035441490986862,0.9704797047970479,0.14841986455981943
Logistic Regression,0.18,4815,2914,8,263,2994,0.08278249921309411,0.9704797047970479,0.1525522041763341
Logistic Regression,0.19,4918,2811,10,261,2911,0.0849609375,0.9630996309963099,0.15614717319772659
Logistic Regression,0.2,5023,2706,10,261,2806,0.08796764408493428,0.9630996309963099,0.1612106238418777
