udi,split
1,train
2,test
3,train
4,train
5,test
6,test
7,train
8,validation
9,train
10,test
11,validation
12,test
13,train
14,test
15,validation
16,train
17,train
18,train
19,train
20,train
21,test
22,test
23,train
24,train
25,train
26,train
27,train
28,test
29,validation
30,train
31,train
32,train
33,train
34,validation
35,train
36,test
37,train
38,train
39,test
40,train
41,validation
42,train
43,test
44,train
45,train
46,validation
47,train
48,validation
49,train
50,train
51,train
52,validation
53,train
54,train
55,train
56,test
57,test
58,train
59,validation
60,train
61,train
62,test
63,train
64,train
65,train
66,test
67,train
68,train
69,train
70,train
71,train
72,train
73,train
74,train
75,train
76,train
77,test
78,train
79,train
80,train
81,test
82,validation
83,train
84,train
85,validation
86,train
87,train
88,train
89,validation
90,train
91,train
92,train
93,test
94,train
95,train
96,train
97,train
98,test
99,validation
100,train
101,train
102,test
103,train
104,train
105,train
106,train
107,train
108,train
109,test
110,train
111,train
112,train
113,validation
114,train
115,validation
116,validation
117,train
118,train
119,validation
120,test
121,test
122,train
123,validation
124,train
125,train
126,train
127,train
128,train
129,test
130,test
131,validation
132,test
133,test
134,test
135,train
136,train
137,test
138,train
139,train
140,train
141,test
142,train
143,train
144,test
145,validation
146,train
147,train
148,train
149,test
150,validation
151,validation
152,validation
153,train
154,train
155,train
156,train
157,test
158,test
159,train
160,validation
161,validation
162,train
163,train
164,test
165,validation
166,train
167,test
168,train
169,train
170,validation
171,train
172,train
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,validation
182,validation
183,train
184,train
185,train
186,train
187,train
188,validation
189,train
190,train
191,train
192,train
193,train
194,validation
195,validation
196,train
197,test
198,test
199,validation
200,validation
201,validation
202,train
203,train
204,validation
205,test
206,train
207,validation
208,train
209,train
210,train
211,test
212,validation
213,validation
214,validation
215,test
216,test
217,validation
218,train
219,train
220,validation
221,train
222,test
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,validation
231,validation
232,train
233,test
234,test
235,train
236,train
237,train
238,train
239,train
240,train
241,test
242,train
243,test
244,train
245,test
246,validation
247,train
248,train
249,test
250,test
251,train
252,train
253,train
254,validation
255,train
256,train
257,train
258,train
259,train
260,train
261,validation
262,test
263,train
264,train
265,train
266,train
267,train
268,test
269,train
270,train
271,validation
272,train
273,test
274,train
275,test
276,train
277,train
278,train
279,train
280,train
281,train
282,test
283,train
284,test
285,train
286,train
287,train
288,test
289,validation
290,test
291,train
292,train
293,train
294,test
295,train
296,train
297,train
298,train
299,train
300,train
301,validation
302,train
303,train
304,train
305,validation
306,train
307,test
308,train
309,train
310,train
311,validation
312,train
313,train
314,test
315,test
316,train
317,train
318,train
319,test
320,train
321,train
322,train
323,train
324,test
325,train
326,train
327,train
328,test
329,validation
330,train
331,test
332,validation
333,train
334,train
335,validation
336,train
337,validation
338,train
339,train
340,train
341,train
342,train
343,test
344,train
345,validation
346,train
347,train
348,train
349,train
350,train
351,train
352,test
353,train
354,train
355,test
356,train
